Purchase ID,User ID,Product ID,Purchase Timestamp,Rating
9580,0,69,2023-08-13 02:45:24,3.29
72661623,0,1585832,2023-08-19 01:07:37,4.47
421,1,42051164,2023-06-30 04:32:29,4.79
855875,1,6802,2023-04-27 11:30:05,4.34
294,1,871989,2023-05-24 02:49:48,3.51
71,1,3,2023-02-16 01:33:03,4.24
343024033,1,415,2023-07-26 10:56:41,2.35
2575,1,53736816,2023-03-25 16:43:24,1.24
970149,1,9886250,2023-05-12 22:56:57,3.48
204,2,16,2023-03-18 14:49:02,1.16
41156,3,231,2023-02-02 16:48:44,3.54
6458439,3,322,2023-07-17 05:19:42,4.94
282187,3,44,2023-01-09 14:01:47,2.75
842778979,4,111961,2023-04-20 11:30:59,2.22
3514,4,21752050,2023-05-15 07:33:26,4.65
45667,4,72440,2023-02-03 18:02:50,2.56
2668528,4,516304687,2023-05-28 07:10:10,4.89
261,4,19289886,2023-04-11 23:25:18,3.77
1056938,4,23030,2023-04-01 16:57:12,4.49
63474,4,23030,2023-03-08 01:05:20,2.58
8,4,970,2023-01-28 11:31:20,4.74
10834436,4,10,2023-08-18 06:18:17,1.57
49899,4,9245203,2023-06-27 02:29:33,1.03
615918250,4,66910118,2023-08-14 17:00:48,2.81
2911456,4,10,2023-01-14 20:09:05,1.06
700,4,6640,2023-02-14 22:20:47,2.3
85763086,4,417281,2023-02-23 13:11:20,3.3
284997,5,281,2023-01-10 18:17:58,4.82
987579,5,874769783,2023-03-20 00:05:47,3.77
83,6,6251,2023-04-04 17:06:50,1.16
29128,6,415,2023-03-21 01:15:15,1.66
873235,6,19289886,2023-01-02 16:40:45,4.27
88291,6,2709352,2023-06-12 15:35:29,3.17
39,6,69,2023-03-28 09:55:39,4.76
843,6,23030,2023-08-03 14:18:48,1.64
52,6,19289886,2023-02-05 02:14:19,2.31
886105747,7,415,2023-01-14 12:48:42,4.69
30663,7,322,2023-06-24 15:51:49,4.99
153723,7,4336456,2023-03-16 23:49:14,1.85
487769,7,24522662,2023-07-27 22:28:32,2.99
89,7,75,2023-04-21 21:15:33,4.22
1276,7,231,2023-02-23 14:27:44,3.11
300273335,7,62,2023-03-25 08:52:46,2.24
34225430,7,458806286,2023-02-03 06:37:32,2.08
20296807,7,37337808,2023-06-26 01:57:40,1.48
27089,7,36732061,2023-04-10 06:47:03,3.05
8321400,8,740863419,2023-03-22 00:41:19,1.99
645,8,2709352,2023-07-17 15:27:16,1.03
7669,8,72440,2023-03-10 04:17:27,3.94
980368,8,281,2023-05-26 05:27:24,3.83
16121467,8,871989,2023-03-09 23:53:00,3.7
39747323,9,6821,2023-05-04 02:25:09,3.6
2694,9,7002,2023-01-22 23:24:45,1.46
9,9,6821,2023-02-21 01:30:34,2.05
6808977,9,1,2023-03-13 15:09:56,2.2
55959,9,44,2023-02-26 23:40:24,1.07
526910181,9,186936,2023-08-03 13:46:00,2.55
9301833,9,322,2023-02-10 01:30:42,2.01
289643,9,60,2023-06-10 11:54:16,4.77
2380,9,66834336,2023-08-19 08:20:29,4.84
6364189,9,53736816,2023-04-24 06:35:47,1.27
30403,10,66910118,2023-06-05 14:45:45,5.0
78433627,10,78,2023-01-14 17:33:18,4.22
81196154,10,184290581,2023-03-07 11:03:50,4.73
87639455,10,2317678,2023-05-14 06:37:36,3.91
28667295,10,874769783,2023-04-03 02:40:18,3.42
67716,10,496452,2023-04-07 16:25:24,1.58
8649,10,66834336,2023-01-22 01:27:17,4.43
777,10,152,2023-05-08 02:01:07,1.78
394,10,1,2023-07-22 20:50:30,3.93
7771,11,72440,2023-01-12 01:02:50,1.67
34275418,11,4976523,2023-07-21 14:47:41,2.86
74909033,11,111961,2023-01-29 07:41:12,3.5
6501,11,35712313,2023-01-01 21:04:11,4.03
192542720,11,62,2023-02-05 14:24:56,4.87
40537,11,184290581,2023-06-25 04:27:07,2.51
6736355,12,231,2023-07-09 20:23:35,3.69
9297,13,2709352,2023-02-19 15:45:55,3.14
6500,13,1088042,2023-02-23 19:55:18,3.14
709900,13,66910118,2023-06-09 23:54:43,1.08
9221,13,4336456,2023-04-13 11:28:30,2.64
253362158,13,329472,2023-02-12 17:11:20,2.78
14191914,13,9272,2023-04-01 16:47:33,1.48
36,14,21752050,2023-07-26 19:46:51,2.71
68734634,14,6821,2023-03-27 15:04:37,1.15
336034272,14,496452,2023-05-02 06:52:18,1.08
659699126,14,740863419,2023-03-18 23:12:06,2.92
258321569,14,806795166,2023-06-23 07:44:25,1.58
942,14,1585832,2023-07-08 17:50:49,2.28
2784638,14,178366,2023-01-13 14:34:04,4.88
32273,15,66834336,2023-07-09 03:49:23,1.96
67933,15,12867543,2023-02-25 16:50:49,3.23
122936484,15,78,2023-07-13 14:39:00,3.85
5395516,15,152,2023-08-18 01:51:02,3.47
197,16,35712313,2023-02-06 05:00:59,4.36
59,16,874769783,2023-05-19 10:28:52,3.57
93593246,17,871989,2023-01-15 20:49:40,2.82
3457806,17,186936,2023-02-08 06:25:15,2.61
297,17,516304687,2023-06-07 17:51:56,2.08
7890,17,2,2023-01-04 02:56:38,2.12
92601,18,0,2023-01-31 08:17:00,4.92
33858196,18,4336456,2023-07-24 23:26:45,4.41
918,18,4636603,2023-02-16 05:02:41,1.13
5801,18,57123448,2023-06-24 03:07:53,3.72
5015585,18,6640,2023-06-06 14:27:07,2.12
35,18,3016004,2023-02-19 14:07:46,1.25
38,18,75,2023-07-26 03:52:39,1.03
3673,19,1585832,2023-03-01 08:13:07,2.54
48141021,19,72440,2023-02-18 00:00:36,1.57
36416593,19,111961,2023-06-10 16:49:01,2.36
56922434,19,184290581,2023-06-07 05:17:54,2.55
6974187,19,23030,2023-04-21 10:17:48,2.57
6132,19,9245203,2023-01-07 00:02:22,2.2
5034447,20,2709352,2023-08-05 05:39:18,4.6
942050441,20,66834336,2023-08-20 18:48:28,2.81
47,20,7371222,2023-01-08 16:57:29,4.58
75466611,20,51914,2023-06-07 08:02:04,2.44
13631,20,12867543,2023-02-25 09:52:24,4.3
321844148,20,51914,2023-05-13 08:57:12,1.64
1734383,20,12867543,2023-06-02 20:50:56,2.83
726,20,740863419,2023-07-30 05:19:50,4.74
67665,20,42051164,2023-04-12 19:10:17,1.99
5694777,21,78,2023-07-20 23:38:00,2.84
662904251,21,707819,2023-05-22 10:14:21,3.34
68210228,21,4336456,2023-02-25 10:14:27,2.88
161,21,874769783,2023-05-07 08:17:55,4.8
8755644,21,322,2023-04-03 00:54:59,2.94
282762,21,4976523,2023-04-01 20:48:57,4.71
8819392,22,871989,2023-08-19 19:01:42,1.3
830749,22,8622459,2023-01-29 19:33:10,1.13
8189398,22,19289886,2023-01-30 10:50:38,3.42
34483615,22,44,2023-01-29 22:05:59,4.79
526,23,12867543,2023-01-09 14:24:31,2.39
623,23,496452,2023-06-12 19:43:43,2.34
88,23,16,2023-04-10 12:50:14,4.14
62980,23,66834336,2023-05-19 12:21:11,4.25
704532341,23,9985,2023-03-06 07:19:06,2.73
87,23,4336456,2023-01-18 00:18:42,1.13
20054565,23,51914,2023-03-15 20:34:06,4.9
51485,24,322,2023-03-13 20:03:26,3.47
1155524,24,231,2023-02-23 14:13:21,2.12
298627160,25,4336456,2023-05-19 15:04:23,2.45
9551464,25,62,2023-01-11 02:04:52,1.04
4116851,25,42051164,2023-04-02 15:50:57,3.5
977111,25,37337808,2023-07-24 02:19:40,1.56
569558,25,2317678,2023-01-05 01:10:05,3.8
6836931,25,78,2023-05-26 05:06:30,3.53
47868,25,231,2023-07-02 01:56:02,2.11
920,26,5147644,2023-06-19 14:39:19,1.22
19065,26,3962017,2023-07-13 23:42:08,4.65
1317,26,9985,2023-01-07 03:26:46,3.94
5445027,26,3962017,2023-02-13 14:06:27,2.22
42773432,26,322,2023-08-13 18:42:11,4.14
7539,26,9886250,2023-07-16 22:27:28,4.43
1466908,26,42051164,2023-04-17 02:01:23,2.21
93173047,26,42051164,2023-07-13 11:21:12,2.39
2490,26,45,2023-05-11 14:56:47,2.86
7661,26,66834336,2023-01-10 08:41:16,4.21
1733959,26,184290581,2023-07-08 11:51:54,2.94
623265,26,6,2023-06-23 19:08:40,4.99
543937938,26,231,2023-02-17 22:20:23,1.24
56326,26,1577,2023-05-06 20:00:37,2.79
