User ID,Product ID
0,0
0,7
0,10
0,458806286
0,18
0,21
0,23
0,24
0,38
0,41
1,0
1,7
1,10
1,458806286
1,18
1,21
1,23
1,24
1,38
1,41
2,0
2,7
2,10
2,458806286
2,18
2,21
2,23
2,24
2,38
2,41
3,0
3,7
3,10
3,458806286
3,18
3,21
3,23
3,24
3,38
3,41
4,0
4,7
4,10
4,458806286
4,18
4,21
4,23
4,24
4,38
4,41
5,0
5,7
5,10
5,458806286
5,18
5,21
5,23
5,24
5,38
5,41
6,0
6,7
6,10
6,458806286
6,18
6,21
6,23
6,24
6,38
6,41
7,0
7,7
7,10
7,458806286
7,18
7,21
7,23
7,24
7,38
7,41
8,0
8,7
8,10
8,458806286
8,18
8,21
8,23
8,24
8,38
8,41
9,0
9,7
9,10
9,458806286
9,18
9,21
9,23
9,24
9,38
9,41
10,0
10,7
10,10
10,458806286
10,18
10,21
10,23
10,24
10,38
10,41
11,0
11,7
11,10
11,458806286
11,18
11,21
11,23
11,24
11,38
11,41
12,0
12,7
12,10
12,458806286
12,18
12,21
12,23
12,24
12,38
12,41
13,0
13,7
13,10
13,458806286
13,18
13,21
13,23
13,24
13,38
13,41
14,0
14,7
14,10
14,458806286
14,18
14,21
14,23
14,24
14,38
14,41
15,0
15,7
15,10
15,458806286
15,18
15,21
15,23
15,24
15,38
15,41
16,0
16,7
16,10
16,458806286
16,18
16,21
16,23
16,24
16,38
16,41
17,0
17,7
17,10
17,458806286
17,18
17,21
17,23
17,24
17,38
17,41
18,0
18,7
18,10
18,458806286
18,18
18,21
18,23
18,24
18,38
18,41
19,0
19,7
19,10
19,458806286
19,18
19,21
19,23
19,24
19,38
19,41
20,0
20,7
20,10
20,458806286
20,18
20,21
20,23
20,24
20,38
20,41
21,0
21,7
21,10
21,458806286
21,18
21,21
21,23
21,24
21,38
21,41
22,0
22,7
22,10
22,458806286
22,18
22,21
22,23
22,24
22,38
22,41
23,0
23,7
23,10
23,458806286
23,18
23,21
23,23
23,24
23,38
23,41
24,0
24,7
24,10
24,458806286
24,18
24,21
24,23
24,24
24,38
24,41
25,0
25,7
25,10
25,458806286
25,18
25,21
25,23
25,24
25,38
25,41
26,0
26,7
26,10
26,458806286
26,18
26,21
26,23
26,24
26,38
26,41
27,0
27,7
27,10
27,458806286
27,18
27,21
27,23
27,24
27,38
27,41
28,0
28,7
28,10
28,458806286
28,18
28,21
28,23
28,24
28,38
28,41
29,0
29,7
29,10
29,458806286
29,18
29,21
29,23
29,24
29,38
29,41
30,0
30,7
30,10
30,458806286
30,18
30,21
30,23
30,24
30,38
30,41
31,0
31,7
31,10
31,458806286
31,18
31,21
31,23
31,24
31,38
31,41
32,0
32,7
32,10
32,458806286
32,18
32,21
32,23
32,24
32,38
32,41
33,0
33,7
33,10
33,458806286
33,18
33,21
33,23
33,24
33,38
33,41
34,0
34,7
34,10
34,458806286
34,18
34,21
34,23
34,24
34,38
34,41
35,0
35,7
35,10
35,458806286
35,18
35,21
35,23
35,24
35,38
35,41
37,0
37,7
37,10
37,458806286
37,18
37,21
37,23
37,24
37,38
37,41
39,0
39,7
39,10
39,458806286
39,18
39,21
39,23
39,24
39,38
39,41
40,0
40,7
40,10
40,458806286
40,18
40,21
40,23
40,24
40,38
40,41
41,0
41,7
41,10
41,458806286
41,18
41,21
41,23
41,24
41,38
41,41
42,0
42,7
42,10
42,458806286
42,18
42,21
42,23
42,24
42,38
42,41
43,0
43,7
43,10
43,458806286
43,18
43,21
43,23
43,24
43,38
43,41
44,0
44,7
44,10
44,458806286
44,18
44,21
44,23
44,24
44,38
44,41
45,0
45,7
45,10
45,458806286
45,18
45,21
45,23
45,24
45,38
45,41
46,0
46,7
46,10
46,458806286
46,18
46,21
46,23
46,24
46,38
46,41
47,0
47,7
47,10
47,458806286
47,18
47,21
47,23
47,24
47,38
47,41
48,0
48,7
48,10
48,458806286
48,18
48,21
48,23
48,24
48,38
48,41
49,0
49,7
49,10
49,458806286
49,18
49,21
49,23
49,24
49,38
49,41
50,0
50,7
50,10
50,458806286
50,18
50,21
50,23
50,24
50,38
50,41
51,0
51,7
51,10
51,458806286
51,18
51,21
51,23
51,24
51,38
51,41
52,0
52,7
52,10
52,458806286
52,18
52,21
52,23
52,24
52,38
52,41
53,0
53,7
53,10
53,458806286
53,18
53,21
53,23
53,24
53,38
53,41
54,0
54,7
54,10
54,458806286
54,18
54,21
54,23
54,24
54,38
54,41
55,0
55,7
55,10
55,458806286
55,18
55,21
55,23
55,24
55,38
55,41
56,0
56,7
56,10
56,458806286
56,18
56,21
56,23
56,24
56,38
56,41
57,0
57,7
57,10
57,458806286
57,18
57,21
57,23
57,24
57,38
57,41
58,0
58,7
58,10
58,458806286
58,18
58,21
58,23
58,24
58,38
58,41
59,0
59,7
59,10
59,458806286
59,18
59,21
59,23
59,24
59,38
59,41
60,0
60,7
60,10
60,458806286
60,18
60,21
60,23
60,24
60,38
60,41
61,0
61,7
61,10
61,458806286
61,18
61,21
61,23
61,24
61,38
61,41
62,0
62,7
62,10
62,458806286
62,18
62,21
62,23
62,24
62,38
62,41
63,0
63,7
63,10
63,458806286
63,18
63,21
63,23
63,24
63,38
63,41
64,0
64,7
64,10
64,458806286
64,18
64,21
64,23
64,24
64,38
64,41
65,0
65,7
65,10
65,458806286
65,18
65,21
65,23
65,24
65,38
65,41
66,0
66,7
66,10
66,458806286
66,18
66,21
66,23
66,24
66,38
66,41
67,0
67,7
67,10
67,458806286
67,18
67,21
67,23
67,24
67,38
67,41
68,0
68,7
68,10
68,458806286
68,18
68,21
68,23
68,24
68,38
68,41
69,0
